Time_s,Lat_deg,Lon_deg,Alt_m,Yaw_deg,Pitch_deg,Roll_deg
45.8,40.0051913823356,116.3,1670.10111744307,0,0,0
45.9,40.0054608769209,116.3,1670.10111744307,0,0,0
46,40.0057303715061,116.3,1670.10111744307,0,0,0
46.1,40.0059998660913,116.3,1670.10111744307,0,0,0
46.2,40.0062693606766,116.3,1670.10111744307,0,0,0
46.3,40.0065388552618,116.3,1670.10111744307,0,0,0
46.4,40.006808349847,116.3,1670.10111744307,0,0,0
46.5,40.0070778444323,116.3,1670.10111744307,0,0,0
46.6,40.0073473390175,116.3,1670.10111744307,0,0,0
46.7,40.0076168336028,116.3,1670.10111744307,0,0,0
46.8,40.007886328188,116.3,1670.10111744307,0,0,0
46.9,40.0081558227732,116.3,1670.10111744307,0,0,0
47,40.0084253173585,116.3,1670.10111744307,0,0,0
47.1,40.0086948119437,116.3,1670.10111744307,0,0,0
47.2,40.0089643065289,116.3,1670.10111744307,0,0,0
47.3,40.0092338011142,116.3,1670.10111744307,0,0,0
