Freq [GHz],Phi [deg],Theta [deg],dB(RealizedGainTotal)
1,-40,105,-1.02095803403979
1,-40,110,-0.272522200223841
1,-40,115,0.365926017948399
1,-40,120,0.900330905588718
1,-40,125,1.33440382165993
1,-40,130,1.67039848241377
1,-40,135,1.90963072291071
1,-40,140,2.05282493427729
1,-40,145,2.1003350365861
1,-40,150,2.05226750706351
1,-40,155,1.90852074922656
1,-40,160,1.66874522404854
1,-40,165,1.3322198932913
1,-40,170,0.897630652541923
1,-40,175,0.362723178032418
1,-40,180,-0.276217767563356
1,-35,-180,-1.02514493898295
1,-35,-175,-1.89342593154737
1,-35,-170,-2.89568697426026
1,-35,-165,-4.0548398740986
1,-35,-160,-5.40737265810005
1,-35,-155,-7.01338267745217
1,-35,-150,-8.97777184551216
1,-35,-145,-11.5022753789603
1,-35,-140,-15.0461028761494
1,-35,-135,-21.082847720555
1,-35,-130,-49.6915268863378
1,-35,-125,-49.7160442636998
1,-35,-120,-21.0493799473819
1,-35,-115,-15.0290432433719
1,-35,-110,-11.4905800983487
1,-35,-105,-8.96869249752004
1,-35,-100,-7.00584218417908
1,-35,-95,-5.40085593015963
1,-35,-90,-4.0490755112053
1,-35,-85,-2.89052691360348
1,-35,-80,-1.88879107754827
1,-35,-75,-1.02099718913152
1,-35,-70,-0.272544065109974
1,-35,-65,0.36592072548997
1,-35,-60,0.900341316589908
1,-35,-55,1.33442887479923
1,-35,-50,1.67043691064996
1,-35,-45,1.90968106081336
1,-35,-40,2.05288554136882
1,-35,-35,2.10040413329232
1,-35,-30,2.05234322059427
1,-35,-25,1.90860116717471
1,-35,-20,1.66882845387238
1,-35,-15,1.33230412624784
1,-35,-10,0.897714231171367
1,-35,-5,0.362804667093681
1,-35,0,-0.276139505511375
1,-35,5,-1.02507065993383
1,-35,10,-1.8933559108421
1,-35,15,-2.89562087636479
1,-35,20,-4.05477655905911
1,-35,25,-5.40730985334948
1,-35,30,-7.01331634254695
1,-35,35,-8.97769475451267
1,-35,40,-11.5021733349845
1,-35,45,-15.0459414209187
1,-35,50,-21.0824922561401
1,-35,55,-49.6915268863378
1,-35,60,-49.7160442636998
1,-35,65,-21.050101749558
1,-35,70,-15.0294357234052
