Time_s,Phi_query_deg,Theta_query_deg
57,11.6868656464488,121.06795064306
57.1,11.529610730981,120.769567824279
57.2,11.372881947323,120.470360700872
57.3,11.2166619578665,120.170319468264
57.4,11.0609334698947,119.86943401202
57.5,10.9056792278769,119.567693900902
57.6,10.7508820056812,119.265088379632
57.7,10.5965245986976,118.961606361382
57.8,10.4425898158613,118.657236419953
57.9,10.2890604715701,118.35196678166
58,10.1359193774835,118.045785316885
58.1,9.98314933419759,117.738679531308
58.2,9.83073312278206,117.430636556793
58.3,9.67865349617235,117.121643141919
58.4,9.52689317040401,116.811685642145
58.5,9.37543481567896,116.500750009591
58.6,9.22426104725196,116.188821782425
58.7,9.07335441612473,115.875886073839
58.8,8.92269739953532,115.561927560596
58.9,8.7722723912292,115.24693047114
59,8.62206169149808,114.930878573241
59.1,8.47204749697193,114.61375516116
59.2,8.32221189014886,114.295543042326
59.3,8.1725368286466,113.976224523484
59.4,8.02300413415904,113.655781396319
59.5,7.87359548109967,113.334194922511
59.6,7.7242923849137,113.011445818211
59.7,7.57507619003896,112.687514237918
59.8,7.42592805749513,112.362379757715
59.9,7.27682895207952,112.036021357859
60,7.12775962914659,111.708417404684
